id	bank_ch	site_ch	status	keyed	keyed_text	best	best_text	source	note	question
0	None	(no chapter)	VERIFIED	B	18 years			Aircraft Rules Sch. II (CPL: not less than eighteen years)		The minimum age requirement for a CPL in India as per DGCA is:
1	None	(no chapter)	VERIFIED	B	12 months			Aircraft Rules r.39C(5)		Class 1 Medical Certificate validity for a pilot under 40 years of age is:
2	None	(no chapter)	VERIFIED	B	November			ICAO phonetic alphabet (Annex 10 Vol II / Doc 9432)		In the ICAO phonetic alphabet, the letter 'N' is represented by:
3	ar-9	ar-13	VERIFIED	B	AIP			AIP India AD section		Aerodrome data and facilities are given in
4	ar-3	ar-3	VERIFIED	D	55, 75, 95, 115, 135, 155, 175, 195, 215, 235, 255, 275			Annex 2 App 3 table a (000-179 VFR = odd+500)	India caps VFR at FL150 (AIP ENR 1.2 §4.1): levels above FL150 in option D are not usable in India	An aircraft is following a track of 179º (M) on a VFR plan. The choice of flight levels available to the pilot are:
5	ar-4	ar-7, ar-12	VERIFIED	D	Special precaution while landing should be taken because of the bad state of the Maneuvering area			Annex 2 App 1 4.2.2		A horizontal red square panel with one yellow diagonal means:
6	ar-5	ar-5, ar-6, ar-8	VERIFIED	A	1000 feet up to F410			Doc 4444 5.3.2 (RVSM: 300 m / 1000 ft FL290-FL410)		Above flight level 290 the minimum vertical separation between aircraft on reciprocal tracks in RVSM area is
7	ar-6	ar-4	VERIFIED	A	2 minutes			Doc 4444 5.8.3.1 (2 min light/medium behind heavy)		Wake turbulence separation minima for Take off, if a light aircraft is to take off behind a heavy or a medium aircraft is:
8	ar-3	ar-3	VERIFIED	B	F 150			AIP India ENR 1.2 §4.1 "VFR flights shall not be operated above FL150"		All flights above_________ flight levels are to be cleared IFR irrespective of weather Conditions
9	ar-7	ar-9, ar-11	VERIFIED	C	NOTAM			AIP India GEN 3.1 (NOTAM: establishment, condition or change of facility/service)		If there is a temporary change in the aeronautical services it is intimated through
10	ar-5	ar-5, ar-6, ar-8	DROPPED (recommended)	A	460			unanswerable as printed	stem lost a word in extraction ("can be flown in ___"); no rule in any held source sets a highest FL of 460	The highest flight level that can be flown in is
11	ar-13	ar-18	VERIFIED	C	Air report			Doc 4444 def. Air-report		A report received from an aircraft giving a position and /or met report is called
12	ar-8	ar-19, ar-21	VERIFIED	A	Mode A code 7500			Annex 2 App 2 / Doc 4444 (A7500 unlawful interference)		During flight as a pilot you are subjected to unlawful interference .On SSR you should set
13	ar-13	ar-18	VERIFIED	C	Spot Wind, Air Temperature, Icing, Turbulence			Doc 4444 4.12 (Section 3 = meteorological information)		What information is included in the third section of an Air report?
14	ar-9	ar-13	VERIFIED	B	30 minutes			Doc 4444 4.4.2.1.2 (30 min delay, controlled flight: amend or new FPL)		A fresh flight plan is to be filed if a scheduled controlled flight is delayed by more than
15	ar-6	ar-4	VERIFIED	D	not required			Doc 4444 5.8.3 (no wake minimum prescribed for heavy behind heavy)		The minimum wake turbulence time separation for a heavy aircraft to land behind a heavy aircraft is
16	ar-13	ar-18	FLAGGED	C	Air temperature, Turbulence, Upper winds & aircraft Icing & humidity	C	Air temperature, Turbulence, Upper winds & aircraft Icing & humidity	Doc 4444 4.12 Section 3	"humidity" is not in the current air-report list; C still closest	The air report contains following items:
17	ar-6	ar-4	VERIFIED	A	Visibility falls below 5 km or cloud ceiling is less than 1500 feet			AIP India ENR 1.2 §2 (VFR needs clearance below 1500 ft ceiling / 5 km); Doc 4444 7.14		At an aerodrome special VFR may be authorized when
18	ar-9	ar-13	VERIFIED	C	Scheduled aircraft			Aircraft Rules r.140C		Routes guides are required to be carried by :
19	ar-9	ar-13	VERIFIED	B	AAI			AIP India GEN 3.1 (AIS provided by AAI)		AIP India is published by
20	ar-13	ar-18	DROPPED (recommended)	B	0 degrees at the horizon			unanswerable as printed	stem lost its first words; sunrise/sunset definition cannot be tested as written	time of an Airport in calculated for an altitude of the Sun
21	ar-13	ar-18	VERIFIED	A	8NMs			Doc 4444 12.3 Note / Doc 9432 4.7.1 (straight-in: LONG FINAL at 8 NM)		An Aircraft shall report “long final” when it is at _________ from the approach end of the rwy
22	ar-13	ar-18	VERIFIED	B	ATS and Met information			CAR Sec 9 Series E Pt I 4.3.4 (ATIS contents: operational and met information)		‘ATIS’ is a continuous broadcast of recorded information concerning:
23	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	0427 hrs			Doc 4444 5.4.2.2.1.2 a) (crossing tracks 15 min)	duplicate #152, #750	An aircraft is on a track of 030º (M) and reports crossing a point at 0412 Hrs at F370. Other aircraft at F370 on a track of 100º(M) can cross the same point not earlier than:
24	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	0225 hrs			Doc 4444 5.4.2.2.3 (reciprocal: vertical separation 10 min before estimated passing)	equal speeds meet at 0235; 0235-10 = 0225. Duplicate #153	An ac at F390 crosses a point at 0210 hrs wishes to descent to F310. There is reciprocal traffic estimating to cross same point at 0300hrs maintaining F 330. By what time the descending aircraft should reach F310 if both aircraft maintain same speed?
25	ar-3	ar-3	VERIFIED	B	Flight of aircraft is totally prohibited.			Annex 2 Ch1 def. Prohibited area; Aircraft Rules r.3(44)/r.12		A prohibited area is an area over which:
26	ar-7	ar-9, ar-11	VERIFIED	B	that weather at the airport located in Class D airspace is below basic VFR weather minimums			FAA AIM 2-1-9 (daylight beacon in Class B-E surface areas often indicates visibility < 3 miles and/or ceiling < 1000 ft)	FAA-specific	An airport’s rotating beacon operated during daylight hours indicates
27	ar-6	ar-4	VERIFIED	B	light, quartering tailwind			FAA AIM 7-4 "THE LIGHT QUARTERING TAILWIND REQUIRES MAXIMUM CAUTION"		The wind condition that requires maximum caution when avoiding wake turbulence on landing is a
28	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	a series of short, regularly spaced eye movements to search each 10-degree sector			FAA AIM 8-1-6 (eye movements not exceeding 10 degrees per sector)		The most effective method of scanning for other aircraft for collision avoidance during daylight hours is to use
29	ar-9	ar-13	VERIFIED	C	Non-control information in selected high-activity terminal areas			CAR Sec 9 Series E Pt I def. ATIS (current, routine information to arriving and departing aircraft)	option C is FAA wording; same meaning	Automatic Terminal Information Service (ATIS) is the continuous broadcast of recorded information concerning
30	ar-5	ar-5, ar-6, ar-8	VERIFIED	A	The current local altimeter setting, if available, or the departure airport elevation			AIP India ENR 1.7 §3 (QNH given in taxi clearance for take-off); 14 CFR 91.121		Prior to takeoff, the altimeter should be set to which altitude or altimeter setting?
31	ar-6	ar-4	VERIFIED	A	At or above F150.			AIP India ENR 1.7 §4.3 (IFR at or above FL150)		Flight must invariably be conducted in accordance with Instrument Flight Rules, even during broad day light, when aircraft are flown.:
32	ar-13	ar-18	VERIFIED	B	Estimated off block time			Doc 4444 App 2 Item 13 (EOBT)		What time is filled in item 13 of flight plan?
33	ar-6	ar-4	VERIFIED	A	5 kms			AIP India ENR 1.2 §1		The visibility reqd. when flying at (or) below 3000’ in a controlled airspace
34	ar-13	ar-18	VERIFIED	B	TAS			Doc 4444 App 2 Item 15 (TAS)		What speed is filled in item 15 of flight plan:
35	ar-13	ar-18	CORRECTED (proposed, not applied)	B	3 mins	D	2 mins	CAR Sec 9 Series C Pt I 3.6.2.2 d) (time estimate change "in excess of two minutes")	keyed B (3 min) is the pre-amendment ICAO figure	The pilot has to inform the ATC if the ETA changes by
36	ar-4	ar-7, ar-12	VERIFIED	C	Magnetic North			FAA AIM 2-3-3 "runway number is the whole number nearest one-tenth the magnetic azimuth"	duplicate #514	Runaway direction is measured from:
37	ar-7	ar-9, ar-11	VERIFIED	B	Cut Engines			Annex 2 App 1 5.10 (cut engines: slicing motion across throat)		If the marshaller has either arm placed level with shoulder and moved laterally across throat indicates
38	ar-9	ar-13	VERIFIED	B	During hours of night.			Aircraft Rules Sch. II (no IFR without IR) + CAR Sec 9 Series C Pt I 4.3 (VFR only until 20 min after sunset)	ATC may exempt flying-club local flights at night (AIP ENR 1.2 3)	A pilot not having an instrument rating cannot fly :
39	ar-5	ar-5, ar-6, ar-8	VERIFIED	B	15 Mins			Doc 4444 5.4.2.2.2.1 a) (15 min while vertical separation does not exist)		If a climbing a/c is crossing the level of another a/c the separation required is
40	ar-7	ar-9, ar-11	VERIFIED	C	A white or orange capital T; land along the stem towards the crosspiece			Annex 2 App 1 4.2.5.1 (white or orange landing T)		What shape and colour is a landing direction indicator?
41	ar-7	ar-9, ar-11	VERIFIED	C	With a white cross on the surface			Air Law textbook 22.15 (closed marking white on runways)		How should a close part of a runway be marked?
42	ar-6	ar-4	VERIFIED	B	5000 meters			AIP India ENR 1.2 §1 (5 km below 10000 ft)		What is the minimum flight visibility for flight in VFR if an aircraft is flying at 5000 feet in Class G airspace at a speed of 120 knots and in sight of the surface?
43	ar-8	ar-19, ar-21	VERIFIED	C	The alert phase			Doc 4444 def. Alert phase		What is correctly defined as “A situation wherein apprehension exists as to the safety of an aircraft and its occupants?
44	ar-9	ar-13	VERIFIED	C	In the open.			Aircraft Rules r.25A(2)(a) (fuelling outdoors)		An aircraft should be refueled:
45	ar-6	ar-4	VERIFIED	C	first report after 30 mins and subsequent after 60 mins			Doc 4444 4.11.1.2 (first half hour, then hourly)		Position report shall be made after every _______, where no standard reporting points exist .
46	ar-6	ar-4	VERIFIED	B	20 NM			Doc 4444 5.4.2.3.3.1 a) / Fig 5-21 (20 NM DME same track same level)		DME separation between A/C on same track, same level and in same direction is
47	ar-6	ar-4	VERIFIED	A	of the pilot.			AIP India ENR 1.4 "responsibility of terrain clearance remains with the flight crew of VFR flight at all times"		An aircraft on a Special VFR flight has been cleared for “straight in “approach. Because of low ceiling and poor visibility, the pilot is concerned about the exact location of a radio mast in the vicinity. Avoiding this obstruction is the responsibility
48	ar-7	ar-9, ar-11	VERIFIED	D	Used for taxiing, taking off and landing.			Annex 2 def. Manoeuvring area		The maneuvering area of an airport is that area
49	ar-6	ar-4	VERIFIED	C	Provided flight visibility is 5000 m.			AIP India ENR 1.2 §1		VFR flight in class F airspace above 3000’ msl and below 10,000 ‘MSL.
50	ar-4	ar-7, ar-12	FLAGGED	A	The lowest published altitude, which meets obstacle clearance requirements and assures acceptable navigational signal coverage.	A	The lowest published altitude, which meets obstacle clearance requirements and assures acceptable navigational signal coverage.	no ICAO definition of MEA held; A matches the FAA 14 CFR 1.1 wording	ICAO uses MEA without the same definition; option C is a truncated fragment (parser damage)	What is the definition of MEA?
51	ar-9	ar-13	VERIFIED	D	with in a radius of 10 kms			Aircraft Rules Sch. I (4) (10 km radius Mathura refineries); AIP ENR 5.1		Prohibition of flights over refinery:
52	ar-5	ar-5, ar-6, ar-8	VERIFIED	D	Mode A 7600			Annex 2 / Doc 4444 SSR code 7600 (radio failure)		Following failure of two way radio communications the pilot should select one of the following on the transponder :
53	ar-3	ar-3	VERIFIED	A	Both aircraft alter heading to starboard			Annex 2 3.2.2.2		When two aircraft are approaching head on, the rules of the air require that
54	ar-2	ar-2, ar-14, ar-15	VERIFIED	C	12 months			Aircraft Rules Sch. II (IR validity 12 months; recorded as verified 2026-09-05)		An Instrument Rating Test is valid before renewal for:
55	ar-3	ar-3	VERIFIED	D	Green navigation light			14 CFR 25.1385/25.1387 (green on right, 110°)	you are at his 100° relative = inside his right 110° arc	While flying at night another aircraft reports that you are on a relative bearing of 100 degrees from him . You should see his:
56	ar-6	ar-4	VERIFIED	D	3 minutes			Doc 4444 5.8.3.2 (3 min, intermediate part of runway)		A light aircraft taking off from an intermediate position on the runway after a heavy aircraft requires a wake vortex separation of :
57	ar-6	ar-4	VERIFIED	B	Is expected to leave the hold and commence its approach			Doc 4444 def. Expected approach time		EAT is the time that an aircraft :
58	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	1000ft or 2000ft depending on whether or not the aircraft are in RVSM airspace			Doc 4444 5.3.2		Above 30000 ft the vertical separation between aircraft on reciprocal tracks will be:
59	ar-8	ar-19, ar-21	VERIFIED	D	All of the above			Doc 4444 4.12.3.1 (special air-reports: severe turbulence, severe icing ...)		An aircraft Captain should transmit special aircraft observations when he encounters:
60	ar-6	ar-4	VERIFIED	B	5nm			Doc 4444 8.7.3.1 (5 NM)		Normal horizontal separation provided by radar units is:
61	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	Lethargy, nausea, headache & complexion			FAA AIM 8-1 (CO: headache, drowsiness, dizziness)	option B text damaged ("complexion")	The possible symptoms of carbon monoxide poisoning are :
62	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	24 hours			HPL textbook ch.3 "Flying and diving" (avoid flying for 24 hours if 30 ft exceeded)		If a pilot goes scuba diving to a depth of 30 feet for more than 10 mts , he / she should not fly within :
63	ar-4	ar-7, ar-12	VERIFIED	C	Do not land, give way to other aircraft and continue circling			Annex 2 App 1 3.1 (steady red, in flight: give way to other aircraft and continue circling)		A continuous red beam directed at an aircraft from the ATC tower means :
64	ar-3	ar-3	VERIFIED	B	at the lower altitude ,but the pilot shall not take advantage of this rule to cut in front of or to to overtake the other aircraft.			Annex 2 3.2.2.5.2		Two aircraft of the same category are approaching an airport for the purpose of landing. The right-of-way belongs to the aircraft.
65	ar-6	ar-4	VERIFIED	C	5 Km visibility; and 1000 feet below.			AIP India ENR 1.2 §1		What is the minimum flight visibility and proximity to cloud requirement s for VFR flight, at 6500 feet MSL, in Class D airspace?
66	ar-5	ar-5, ar-6, ar-8	VERIFIED	B	Class F			AIP India ENR 1.4 Class F (air traffic advisory service)		Air Traffic Advisory Service is provided in airspace classified as
67	ar-6	ar-4	VERIFIED	C	Beyond the jet’s touchdown point .			FAA AIM 7-4 "note its touchdown point - land beyond it"		When landing behind a large jet aircraft ,at which point on the runway should you plan to land ?
68	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	7000 feet.			calculation: (1013-996)=17 hPa x ~30 ft = ~510 ft; 6500+510 = ~7000 ft		At an altitude of 6500 feet MSL the current altimeter setting is 996 hPa. The pressure altitude would be approx.
69	ar-6	ar-4	FLAGGED	C	May persist for two minutes or more	C	May persist for two minutes or more	FAA AIM 7-4 (vortices diminish in strength with time and distance)	"two minutes or more" is not stated verbatim in any held source	Hazardous wake turbulence caused by aircraft in still air
70	ar-6	ar-4	VERIFIED	B	Heavy, clean configuration and slow speed.			FAA AIM 7-4 "greatest vortex strength ... HEAVY, CLEAN, and SLOW"		Wake turbulence will be greatest when generated by an aeroplane which is
71	ar-3	ar-3	VERIFIED	B	95			Annex 2 App 3 (000-179 VFR = odd+500 -> FL95)		While flying on a magnetic track of 140 degrees the aircraft on VFR plan will select the following levels:
72	ar-7	ar-9, ar-11	VERIFIED	A	Stop			Annex 2 App 1 5.6 (stop)	older wording of the stop signal	The marshalling signal - “arms extended overhead, palms facing inwards, arms swung from The extended position inwards “means:
73	ar-9	ar-13	VERIFIED	D	Only if the certificate of airworthiness of the aircraft permits.			Aircraft Rules r.25(2)		Smoking on a private aircraft is permitted:
74	ar-2	ar-2, ar-14, ar-15	VERIFIED	D	If specially permitted in writing by the central govt.			Aircraft Rules r.5 proviso (special permission in writing of the Central Government)		An aircraft without registration markings can be flown only
75	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	12 hrs before commencement of flight.			Aircraft Rules r.24 via CAR Sec 5 F Pt III 1.3 (12 hours before commencement of flight)		The member of operating crew shall not have taken alcoholic drinks:
