"Chapter","No","Question","A","B","C","D","Correct","Status","Verification / Note"
"met-1 Atmosphere","1","The lowest layer of the atmosphere is the:","Troposphere","Tropopause","Stratosphere","","A) Troposphere","VERIFIED","Troposphere is the lowest layer (CAE ATPL Met, Ch.1)."
"met-1 Atmosphere","2","The height of the tropopause at the Equator is approximately:","10–12 km","16–18 km","12–14 km","","B) 16–18 km","TEXT-FIX","Equatorial tropopause ≈16 km (CAE Q2). Options de-garbled (1012→10–12)."
"met-1 Atmosphere","3","The height of the tropopause at the Poles is approximately:","12–14 km","12–13 km","8–10 km","","C) 8–10 km","TEXT-FIX","Polar tropopause ≈8 km (CAE Q19). Options de-garbled."
"met-1 Atmosphere","4","The higher the surface temperature, the ____ the tropopause:","Higher","Lower","Same","","A) Higher","TEXT-FIX","Warm surface → deeper troposphere → higher tropopause. Fixed 'tropopau se'."
"met-1 Atmosphere","5","The height of the tropopause:","Is constant","Varies with altitude","Varies with latitude","","C) Varies with latitude","VERIFIED","Tropopause height decreases from Equator to Poles (CAE Q1)."
"met-1 Atmosphere","6","Above 8 km, the lower temperatures are found over the:","Equator","Mid-latitudes","Poles","","A) Equator","CORRECTED","Equatorial tropopause is higher & colder (≈−75°C) than polar (CAE Q10). Live site showed 'Poles' — WRONG."
"met-1 Atmosphere","7","The atmosphere is heated mainly by:","Solar radiation directly","Heat from the earth's surface","Radiation from space","","B) Heat from the earth's surface","VERIFIED","Atmosphere heated from below by terrestrial radiation (CAE Ch.1)."
"met-1 Atmosphere","8","The stratosphere is:","Unstable","Neutral","Stable","","C) Stable","CORRECTED","Stratosphere is STABLE (temperature inversion). IC Joshi book marked 'Neutral' — WRONG (CAE Q11/Q12)."
"met-1 Atmosphere","9","The tropopause is discontinuous (has breaks) at about:","30° latitude","40° latitude","60° latitude","","A) 30° latitude","VERIFIED","Main tropopause breaks near 30° (sub-tropical jet); also 60° (polar). IC Joshi answer 30°."
"met-1 Atmosphere","10","Most of the atmospheric mass is contained in the:","Troposphere","Stratosphere","Heterosphere","","A) Troposphere","VERIFIED","≈¾ of atmospheric mass is in the troposphere (CAE Ch.1)."
"met-1 Atmosphere","11","The stratosphere extends from the tropopause up to about:","50 km","60 km","40 km","","A) 50 km","VERIFIED","Stratosphere ≈11–50 km (CAE Q22)."
"met-1 Atmosphere","12","The atmospheric layer characterised by a temperature inversion and great stability is the:","Troposphere","Tropopause","Stratosphere","","C) Stratosphere","VERIFIED","Stratosphere (inversion + stability)."
"met-1 Atmosphere","13","Mother-of-pearl (nacreous) clouds occur in the:","Mesosphere","Thermosphere","Stratosphere","","C) Stratosphere","VERIFIED","Nacreous/mother-of-pearl clouds ≈20–30 km, stratosphere. (Merged duplicate Q16/Q29.)"
"met-1 Atmosphere","14","In the ISA, the temperature at 17 km is:","−56.5°C","−65.5°C","−35.5°C","","A) −56.5°C","TEXT-FIX","ISA isothermal −56.5°C from 11–20 km (CAE Q20). Fixed missing minus signs."
"met-1 Atmosphere","15","By weight, the approximate ratio of O₂ to N₂ in the atmosphere is:","1:3","1:4","1:5","","A) 1:3","VERIFIED","By mass O₂≈23%, N₂≈76% → ≈1:3."
"met-1 Atmosphere","16","By volume, the approximate ratio of O₂ to N₂ in the atmosphere is:","1:3","1:4","1:5","","B) 1:4","VERIFIED","By volume O₂≈21%, N₂≈78% → ≈1:4 (CAE Q13)."
"met-1 Atmosphere","17","By volume, the proportion of CO₂ in the atmosphere is about:","3%","0.3%","0.03%","","C) 0.03%","VERIFIED","CO₂ ≈0.03–0.04% by volume."
