"No","Source","Question","A","B","C","D","Correct","Status","Verification / Citation"
"1","IC Joshi","The lowest layer of the atmosphere is the:","Troposphere","Tropopause","Stratosphere","","A) Troposphere","VERIFIED","Troposphere is the lowest layer (CAE ATPL Met, Ch.1)."
"2","IC Joshi","The height of the tropopause at the Equator is approximately:","10–12 km","16–18 km","12–14 km","","B) 16–18 km","TEXT-FIX","Equatorial tropopause ≈16 km (CAE Q2). Options de-garbled (1012→10–12)."
"3","IC Joshi","The height of the tropopause at the Poles is approximately:","12–14 km","12–13 km","8–10 km","","C) 8–10 km","TEXT-FIX","Polar tropopause ≈8 km (CAE Q19). Options de-garbled."
"4","IC Joshi","The higher the surface temperature, the ____ the tropopause:","Higher","Lower","Same","","A) Higher","TEXT-FIX","Warm surface → deeper troposphere → higher tropopause. Fixed 'tropopau se'."
"5","IC Joshi","The height of the tropopause:","Is constant","Varies with altitude","Varies with latitude","","C) Varies with latitude","VERIFIED","Tropopause height decreases from Equator to Poles (CAE Q1)."
"6","IC Joshi","Above 8 km, the lower temperatures are found over the:","Equator","Mid-latitudes","Poles","","A) Equator","CORRECTED","Equatorial tropopause is higher & colder (≈−75°C) than polar (CAE Q10). Live site showed 'Poles' — WRONG."
"7","IC Joshi","The atmosphere is heated mainly by:","Solar radiation directly","Heat from the earth's surface","Radiation from space","","B) Heat from the earth's surface","VERIFIED","Atmosphere heated from below by terrestrial radiation (CAE Ch.1)."
"8","IC Joshi","The stratosphere is:","Unstable","Neutral","Stable","","C) Stable","CORRECTED","Stratosphere is STABLE (temperature inversion). IC Joshi book marked 'Neutral' — WRONG (CAE Q11/Q12)."
"9","IC Joshi","The tropopause is discontinuous (has breaks) at about:","30° latitude","40° latitude","60° latitude","","A) 30° latitude","VERIFIED","Main tropopause breaks near 30° (sub-tropical jet); also 60° (polar). IC Joshi answer 30°."
"10","IC Joshi","Most of the atmospheric mass is contained in the:","Troposphere","Stratosphere","Heterosphere","","A) Troposphere","VERIFIED","≈¾ of atmospheric mass is in the troposphere (CAE Ch.1)."
"11","IC Joshi","The stratosphere extends from the tropopause up to about:","50 km","60 km","40 km","","A) 50 km","VERIFIED","Stratosphere ≈11–50 km (CAE Q22)."
"12","IC Joshi","The atmospheric layer characterised by a temperature inversion and great stability is the:","Troposphere","Tropopause","Stratosphere","","C) Stratosphere","VERIFIED","Stratosphere (inversion + stability)."
"13","IC Joshi","Mother-of-pearl (nacreous) clouds occur in the:","Mesosphere","Thermosphere","Stratosphere","","C) Stratosphere","VERIFIED","Nacreous/mother-of-pearl clouds ≈20–30 km, stratosphere. (Merged duplicate Q16/Q29.)"
"14","IC Joshi","In the ISA, the temperature at 17 km is:","−56.5°C","−65.5°C","−35.5°C","","A) −56.5°C","TEXT-FIX","ISA isothermal −56.5°C from 11–20 km (CAE Q20). Fixed missing minus signs."
"15","IC Joshi","By weight, the approximate ratio of O₂ to N₂ in the atmosphere is:","1:3","1:4","1:5","","A) 1:3","VERIFIED","By mass O₂≈23%, N₂≈76% → ≈1:3."
"16","IC Joshi","By volume, the approximate ratio of O₂ to N₂ in the atmosphere is:","1:3","1:4","1:5","","B) 1:4","VERIFIED","By volume O₂≈21%, N₂≈78% → ≈1:4 (CAE Q13)."
"17","IC Joshi","By volume, the proportion of CO₂ in the atmosphere is about:","3%","0.3%","0.03%","","C) 0.03%","VERIFIED","CO₂ ≈0.03–0.04% by volume."
"18","IC Joshi","In the ISA, the mean sea level temperature is:","15°C","10°C","25°C","","A) 15°C","VERIFIED","ISA MSL temperature = +15°C (CAE)."
"19","IC Joshi","The maximum concentration of ozone is at a height of about:","10–15 km","20–25 km","30–35 km","","B) 20–25 km","TEXT-FIX","Ozone maximum ≈20–25 km. Options de-garbled (1015→10–15)."
"20","IC Joshi","Supplemental oxygen is required when flying above about:","5000 ft","7000 ft","10 000 ft","","C) 10 000 ft","VERIFIED","Supplemental O₂ above ≈10 000 ft (physiology/DGCA)."
"21","IC Joshi","CO₂ and water vapour keep the atmosphere:","Warm","Cold","No effect","","A) Warm","VERIFIED","Greenhouse gases warm the atmosphere."
"22","IC Joshi","Noctilucent clouds occur in the:","Thermosphere","Mesosphere","Stratosphere","","B) Mesosphere","VERIFIED","Noctilucent clouds near the mesopause ≈80 km (mesosphere)."
"23","IC Joshi","If the temperature at 2 km is +5°C, the ISA deviation (Actual − ISA) is:","−5°C","+2°C","+3°C","","C) +3°C","TEXT-FIX","ISA@2km≈+2°C; +5−(+2)=+3°C. Fixed answer-option sign (was '−03°C')."
"24","IC Joshi","If the MSL pressure is 1002.25 hPa, the deviation from the ISA MSL pressure is:","−11 hPa","+10 hPa","+12 hPa","","A) −11 hPa","VERIFIED","1002.25 − 1013.25 = −11 hPa."
"25","IC Joshi","If the temperature at 19 km is −60°C, the ISA deviation is:","−4.5°C","−5.5°C","−3.5°C","","C) −3.5°C","TEXT-FIX","ISA@19km=−56.5°C (isothermal); −60−(−56.5)=−3.5°C."
"26","IC Joshi","The homosphere (up to ≈80 km) has a uniform composition because of:","Pressure","Gravitation","Turbulent mixing","","C) Turbulent mixing","CORRECTED","Uniform because turbulent/eddy mixing dominates. IC Joshi marked 'Gravitation' — WRONG."
"27","IC Joshi","Approximately half of the atmosphere's mass (by weight) lies below:","20 000 ft","15 000 ft","10 000 ft","","A) 20 000 ft","CORRECTED","50% of mass below ≈5500 m ≈18 000 ft → 20 000 ft closest (CAE Q23). Live notes-bank showed 15 000 ft — WRONG."
"28","IC Joshi","In the Jet Standard Atmosphere, the assumed lapse rate is:","2°C/1000 ft","2°C/km","5°C/km","","A) 2°C/1000 ft","VERIFIED","JSA uses 2°C per 1000 ft."
"29","IC Joshi","The rate of fall of temperature with height is called the:","Isothermal rate","Inversion rate","Lapse rate","","C) Lapse rate","VERIFIED","Definition of lapse rate."
"30","IC Joshi","In the actual atmosphere, the lapse rate can:","Assume any value","Only fall up to 8 km","Only rise up to 50 km","","A) Assume any value","VERIFIED","Real environmental lapse rate varies (can be positive, zero, or inverted)."
"31","IC Joshi","The tropical tropopause over India is at about:","20–21 km","14–15 km","16–16.5 km","","C) 16–16.5 km","TEXT-FIX","Tropical tropopause ≈16–17 km. Options de-garbled."
"32","IC Joshi","The lapse rate in the troposphere is caused by ____ , and the stratospheric inversion by ____:","Evaporation; condensation","Rising air; solar radiation","Terrestrial radiation; solar radiation (ozone)","Solar radiation; convection","C) Terrestrial radiation; solar radiation (ozone)","CORRECTED","Troposphere heated from below (terrestrial radiation); stratosphere warmed by ozone absorbing solar UV. IC Joshi marked 'Rising air…'. (Merged duplicate Q44.)"
"33","IC Joshi","A negative lapse rate (temperature rising with height) is known as an:","Isothermal layer","Temperature fall with height","Inversion","Adiabatic layer","C) Inversion","TEXT-FIX","Inversion = temperature increasing with height. Options tidied."
"34","IC Joshi","In the ICAO ISA, the atmosphere is assumed to be isothermal from:","11 to 16 km","11 to 20 km","11 to 32 km","0 to 11 km","B) 11 to 20 km","CORRECTED","ISA is isothermal (−56.5°C) 11→20 km, then rises. IC Joshi marked '11–32 km' — WRONG (CAE Q20/Q22)."
"35","IC Joshi","Which is a characteristic of the atmosphere?","It is a poor conductor of heat and electricity","The Equator is warmer than the poles above 10 km","The stratospheric lapse rate is positive","Density is constant above 8 km","A) It is a poor conductor of heat and electricity","VERIFIED","Air is a poor conductor; the other options are false."
"36","IC Joshi","The knowledge of the tropopause height is important to a pilot because:","Weather is mainly confined up to this level","Clouds never reach this height","All solar radiation is absorbed here","","A) Weather is mainly confined up to this level","VERIFIED","Weather (and most cloud/turbulence) is confined to the troposphere."
"37","IC Joshi","In the ISA, the tropopause is at a height of:","8–10 km","11 km","16–18 km","","B) 11 km","TEXT-FIX","ISA tropopause = 11 km (36 090 ft). Options de-garbled."
"38","IC Joshi","Most of the atmospheric water vapour is found:","In the stratosphere","Up to 30 000 ft","In the mid-troposphere","In the lower troposphere","D) In the lower troposphere","FLAG","Standard fact: most water vapour is in the LOWER troposphere. IC Joshi book marked 'up to 30 000 ft'. Your call: keep 'lower troposphere' (recommended) or the book's wording?"
"39","IC Joshi","The greatest transfer of heat from the earth's surface to the atmosphere is by:","Convection","Radiation","Sensible heat","Latent heat","D) Latent heat","FLAG","Global energy budget: latent heat flux is the largest term. IC Joshi marked 'sensible heat'. Confirm which you teach for DGCA."
"40","IC Joshi","DROP? — 'The troposphere is generally: stable / unstable / neutral'","(recommend removing)","","","","A) (recommend removing)","FLAG","No single correct answer (troposphere is conditionally unstable). The two source banks disagree (Neutral vs Unstable). Recommend REMOVING this question."
"41","IC Joshi","DROP? — '“Tropos” means: turning / under-current / convection'","(recommend removing)","","","","A) (recommend removing)","FLAG","Etymology question; 'tropos' literally = turning/mixing but IC Joshi marks 'Convection'. Low exam value — recommend removing or rewording."
"42","Oxford/CAE","In the ISA, the temperature decrease with height below 11 km is:","0.5°C/100 m","0.6°C/100 m","0.65°C/100 m","1°C/100 m","C) 0.65°C/100 m","VERIFIED","ISA lapse 6.5°C/km = 0.65°C/100 m (CAE Q3)."
"43","Oxford/CAE","The 200 hPa pressure level, in temperate regions, is at an average height of about:","FL390","FL300","FL100","FL50","A) FL390","VERIFIED","200 hPa ≈ 38 700 ft ≈ FL390 (CAE Q4)."
"44","Oxford/CAE","The temperature at FL110 is −12°C. Applying the ICAO standard lapse rate, the temperature at FL140 is:","−6°C","−18°C","−9°C","−15°C","B) −18°C","VERIFIED","3000 ft × 2°C/1000 ft = 6°C colder → −18°C (CAE Q5)."
"45","Oxford/CAE","At a position the 300 hPa temperature is −54°C and the tropopause is at FL330. The most likely temperature at FL350 is:","−48°C","−60°C","−56.5°C","−64°C","B) −60°C","VERIFIED","FL300→FL330: −54−6=−60°C; above tropopause isothermal → FL350=−60°C (CAE Q6)."
"46","Oxford/CAE","The boundary between the troposphere and the stratosphere is called the:","Ionosphere","Stratopause","Atmosphere","Tropopause","D) Tropopause","VERIFIED","Tropopause (CAE Q7)."
"47","Oxford/CAE","Which constant-pressure chart is standard for the FL50 (≈4781 ft) level?","500 hPa","300 hPa","850 hPa","700 hPa","C) 850 hPa","VERIFIED","850 hPa ≈ 5000 ft (CAE Q8)."
"48","Oxford/CAE","An OAT of −30°C is measured at FL200. The temperature deviation from ISA is:","5°C colder than ISA","5°C warmer than ISA","10°C colder than ISA","10°C warmer than ISA","A) 5°C colder than ISA","VERIFIED","ISA@FL200=−25°C; −30 is 5°C colder (CAE Q9)."
"49","Oxford/CAE","The most likely temperature at the tropical tropopause is:","−56.5°C","−75°C","−40°C","−25°C","B) −75°C","VERIFIED","Tropical tropopause ≈−75°C (CAE Q10)."
"50","Oxford/CAE","In the lower part of the stratosphere the temperature:","Is almost constant","Decreases with altitude","Increases with altitude","Increases then decreases","A) Is almost constant","VERIFIED","Lower stratosphere is isothermal (CAE Q12)."
"51","Oxford/CAE","An air temperature of −15°C at the 700 hPa level over western Europe would be characterised as:","Within ±5°C of ISA","20°C below standard","Low","High","C) Low","VERIFIED","700 hPa≈FL100, ISA≈−5°C; −15°C is colder than standard = Low (CAE Q15)."
"52","Oxford/CAE","Flying at FL300 in an air mass 15°C warmer than ISA, the outside temperature is likely:","−15°C","−30°C","−45°C","−60°C","B) −30°C","VERIFIED","ISA@FL300=−45°C; +15 → −30°C (CAE Q16)."
"53","Oxford/CAE","At FL140 the OAT is −8°C. The freezing level is at approximately:","FL75","FL100","FL130","FL180","B) FL100","VERIFIED","−8°C→0°C needs +4000 ft descent (2°C/1000 ft); FL140−40=FL100 (CAE Q17)."
"54","Oxford/CAE","The most important constituent in the atmosphere from a weather standpoint is:","Carbon dioxide","Oxygen","Water vapour","Methane","C) Water vapour","VERIFIED","Water vapour drives weather (CAE Q18)."
"55","Oxford/CAE","The average height of the tropopause at latitude 50° is about:","8 km","11 km","14 km","16 km","B) 11 km","VERIFIED","Mid-latitude tropopause ≈11 km (CAE Q19)."
"56","Oxford/CAE","Between MSL and 20 km, the lowest temperature in the ISA is:","−273°C","−44.7°C","−56.5°C","−100°C","C) −56.5°C","VERIFIED","ISA minimum −56.5°C in the 11–20 km isothermal layer (CAE Q20)."
"57","Oxford/CAE","The ISA assumes the temperature reduces at:","1.98°C/1000 ft up to 36 090 ft, then constant to 65 617 ft","1.98°C/1000 ft up to 36 090 ft, then +0.3°C/1000 ft","2°C/1000 ft up to 65 617 ft","2°C/1000 ft up to 36 090 ft, then +0.3°C/1000 ft","A) 1.98°C/1000 ft up to 36 090 ft, then constant to 65 617 ft","VERIFIED","ISA: 1.98°C/1000 ft to 36 090 ft then isothermal to 65 617 ft (CAE Q21)."
"58","Oxford/CAE","A temperature of +15°C is recorded at 500 m AMSL. Using the standard lapse rate, the temperature at a 2500 m summit is:","0°C","+2°C","+4°C","−2°C","B) +2°C","VERIFIED","2000 m × 6.5°C/km = 13°C; 15−13=+2°C (CAE Q24)."
